Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
1964,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.8
1965,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,8.8
1966,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.0
1967,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.7
1968,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.4
1969,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.1
1970,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.3
1971,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.3
1972,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.2
1973,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.1
1974,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.8
1975,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.7
1976,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.8
1977,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.9
1978,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.0
1979,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.7
1980,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,8.9
1981,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.6
1982,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.4
1983,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.3
1984,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.5
1985,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.2
1986,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.8
1987,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.9
1988,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.5
1989,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.7
1990,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.8
1991,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.2
1992,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.6
1993,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.1
1994,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.6
1995,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.7
1996,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.8
1997,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.7
1998,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.6
1999,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.5
2000,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.2
2001,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.9
2002,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.2
2003,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.4
2004,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.7
2005,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.3
2006,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.2
2007,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.2
2008,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.8
2009,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.2
2010,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.1
2011,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,11.4
2012,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.9
2013,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.2
