Year,Country,alpha_3,Region,Latitude,Longitude,Jahresniederschlag
1935,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1065.5
1936,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,880.5
1937,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1094.1
1938,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,741.6
1939,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1103.0
1940,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1003.5
1941,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,753.4
1942,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,685.1
1943,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,834.0
1944,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,846.0
1945,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,659.4
1946,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,899.0
1947,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,868.8
1948,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,927.8
1949,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,696.1
1950,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,932.5
1951,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,985.0
1952,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1089.4
1953,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,641.1
1954,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1016.9
1955,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,979.3
1956,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,842.8
1957,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,666.3
1958,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,969.6
1959,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,874.7
1960,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1334.2
1961,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,753.8
1962,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,713.3
1963,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1006.7
1964,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,736.1
1965,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1198.5
1966,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,944.5
1967,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,836.1
1968,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,1132.9
